deviceId,latitude,longitude,deviceAlias,receivedDateTime,eventDateTime,address,HDOP,speed,heading,batteryBackup,ignitionEnabledFlag,deviceSerialNumber,DriverID,JourneyID,,EventType
3.56E+14,42.48722,-83.2396,OpenText 1,2018-10-29T17:48:14.8866667,2018-10-29T17:48:03,"19801 11 Mile Road, Southfield, MI 48076, USA",0,15.5,57,14.7,FALSE,183105270,maddep0823,PT101801,,IgnitionOn
3.56E+14,42.48728,-83.23959,OpenText 1,2018-10-29T17:48:14.9666667,2018-10-29T17:48:04,"19801 11 Mile Road, Southfield, MI 48076, USA",0,14.2,19,14.7,FALSE,183105270,maddep0823,PT101801,,
3.56E+14,42.48777,-83.23991,OpenText 1,2018-10-29T17:48:38.5133333,2018-10-29T17:48:28,"19838 11 Mile Road, Southfield, MI 48076, USA",3.1,18.6,277,14.7,FALSE,183105270,maddep0823,PT101801,,
3.56E+14,42.48765,-83.23966,OpenText 1,2018-10-29T17:48:43.2,2018-10-29T17:48:25,"19807 11 Mile Road, Southfield, MI 48076, USA",2.4,11.8,336,14.7,FALSE,183105270,maddep0823,PT101801,,
3.56E+14,42.48775,-83.23981,OpenText 1,2018-10-29T17:48:45.2933333,2018-10-29T17:48:27,"19824 11 Mile Road, Southfield, MI 48076, USA",1.8,15.5,305,14.7,FALSE,183105270,maddep0823,PT101801,,
3.56E+14,42.48763,-83.24093,OpenText 1,2018-10-29T17:49:24.9666667,2018-10-29T17:49:09,"19963 11 Mile Road, Southfield, MI 48076, USA",0,0,268,14.6,FALSE,183105270,maddep0823,PT101801,,HardBrake
3.56E+14,42.48741,-83.24473,OpenText 1,2018-10-29T17:50:08.11,2018-10-29T17:49:53,"20347 11 Mile Rd, Southfield, MI 48034, USA",0,17.4,209,14.7,FALSE,183105270,maddep0823,PT101801,,
3.56E+14,42.48747,-83.24468,OpenText 1,2018-10-29T17:50:08.1266667,2018-10-29T17:49:52,"20343 11 Mile Rd, Southfield, MI 48034, USA",0,17.4,230,14.7,FALSE,183105270,maddep0823,PT101801,,
3.56E+14,42.48734,-83.24475,OpenText 1,2018-10-29T17:50:08.5466667,2018-10-29T17:49:54,"20349 11 Mile Rd, Southfield, MI 48034, USA",0,17.4,190,14.6,FALSE,183105270,maddep0823,PT101801,,
3.56E+14,42.48751,-83.24461,OpenText 1,2018-10-29T17:50:09.72,2018-10-29T17:49:51,"20335 11 Mile Rd, Southfield, MI 48034, USA",0,18,250,14.7,FALSE,183105270,maddep0823,PT101801,,
3.56E+14,42.48622,-83.2447,OpenText 1,2018-10-29T17:50:41.6433333,2018-10-29T17:50:31,"(26301 - 26999) Central Park Blvd, Southfield, MI 48076, USA",1.8,32.3,174,14.7,FALSE,183105270,maddep0823,PT101801,,
3.56E+14,42.48477,-83.24466,OpenText 1,2018-10-29T17:51:05.3766667,2018-10-29T17:50:47,"(26301 - 26999) Central Park Blvd, Southfield, MI 48076, USA",1.2,10.5,251,14.7,FALSE,183105270,maddep0823,PT101801,,
3.56E+14,42.48477,-83.24484,OpenText 1,2018-10-29T17:51:07.72,2018-10-29T17:50:49,"(26301 - 26999) Central Park Blvd, Southfield, MI 48076, USA",2.4,16.7,270,14.7,FALSE,183105270,maddep0823,PT101801,,
3.56E+14,42.48472,-83.24572,OpenText 1,2018-10-29T17:51:15.2533333,2018-10-29T17:50:57,"20607 Knob Woods Drive, Southfield, MI 48076, USA",0,13,247,14.7,FALSE,183105270,maddep0823,PT101801,,
3.56E+14,42.48463,-83.24575,OpenText 1,2018-10-29T17:51:15.8466667,2018-10-29T17:50:59,"20609 Knob Woods Drive, Southfield, MI 48076, USA",0.6,13.6,189,14.7,FALSE,183105270,maddep0823,PT101801,,Accelerate
